branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind,wyckoff,wyckoff_ratio
B02_LONG_EMA200_FIBOFF,G_BASE47,1,2.0,1781,2022-02-17 13:15:00,1782,2022-02-17 13:30:00,1904.0,1892.466699535658,1915.533300464342,11.533300464341892,1889.0,1800,2022-02-17 18:00:00,1915.533300464342,TP,1.0,0.06936435953206993,0.9306356404679301,-0.6069381459056119,1.0404653929810488,19,B,1.6153846153846154,False,0.46153846153846156,0.5714285714285714,1876.0,1813.1422006900893,False,73.47772399817418,4.613320185736776,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,2006,2022-02-21 21:30:00,2007,2022-02-21 21:45:00,1961.0,1940.3378347864207,1981.6621652135793,20.66216521357933,1935.0,2041,2022-02-22 06:15:00,1940.3378347864207,SL,-1.0,0.038718110698013106,-1.038718110698013,-1.1131456825678767,0.8227598523327785,35,C,2.2941176470588234,False,0.9411764705882353,0.5128205128205128,1912.0,1815.1391373859121,False,72.79385796263232,8.264866085431688,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,2569,2022-03-01 18:15:00,2570,2022-03-01 18:30:00,1929.0,1915.4133864137086,1942.5866135862914,13.586613586291378,1901.0,2633,2022-03-02 10:15:00,1915.4133864137086,SL,-1.0,0.05888148617159349,-1.0588814861715934,-1.3984352965753455,0.7360185771449186,64,C,2.0,False,0.8333333333333334,0.5,1895.0,1821.0458266995474,False,66.13192430479185,5.434645434516514,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,2911,2022-03-07 07:45:00,2912,2022-03-07 08:00:00,1998.0,1984.782382112764,2011.217617887236,13.217617887235974,1981.0,2923,2022-03-07 10:45:00,2011.217617887236,TP,1.0,0.06052527821768446,0.9394747217823155,-0.3026263910884223,1.2105055643536893,12,C,3.3846153846153846,False,0.8461538461538461,0.38636363636363635,1967.0,1825.6575015659612,False,68.48396683656674,5.287047154894345,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,5328,2022-04-11 12:00:00,5329,2022-04-11 12:15:00,1963.0,1953.067799056722,1972.932200943278,9.932200943278076,1952.0,5335,2022-04-11 13:45:00,1953.067799056722,SL,-1.0,0.08054609492586079,-1.0805460949258607,-1.208191423887912,0.50341309328663,7,C,2.5,False,0.75,0.55,1947.0,1852.593895896897,False,77.75592424070126,3.9728803773112067,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,5786,2022-04-18 06:30:00,5787,2022-04-18 06:45:00,1991.0,1985.9767177952995,1996.0232822047005,5.023282204700536,1983.0,5794,2022-04-18 08:30:00,1996.0232822047005,TP,1.0,0.1592584225611295,0.8407415774388705,-0.19907302820141184,1.3935111974098828,8,C,2.0,False,0.8333333333333334,0.4166666666666667,1980.0,1858.384460715056,False,70.04121437605383,2.00931288188018,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,6655,2022-04-29 07:45:00,6656,2022-04-29 08:00:00,1923.0,1914.8187105083234,1931.1812894916766,8.18128949167658,1913.0,6660,2022-04-29 09:00:00,1914.8187105083234,SL,-1.0,0.09778409635961399,-1.097784096359614,-1.2223012044951749,0.24446024089903495,5,C,2.2857142857142856,False,0.8571428571428571,0.375,1898.0,1864.742340153466,True,73.20815367461651,3.2725157966706013,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,21433,2022-12-01 06:15:00,21434,2022-12-01 06:30:00,1772.0,1766.8660985916074,1777.1339014083926,5.133901408392603,1762.0,21462,2022-12-01 13:30:00,1777.1339014083926,TP,1.0,0.15582691141910257,0.8441730885808975,-0.9739181963693909,1.3634854749171472,29,C,3.875,False,0.875,0.2903225806451613,1763.0,1756.9792289276227,False,70.43052483058408,2.0535605633570015,IMPULSE_W5,False,
B03_LONG_W3A_HV,G_BASE47,1,2.0,22978,2022-12-23 08:30:00,22979,2022-12-23 08:45:00,1808.0,1802.9985118675077,1813.0014881324923,5.001488132492341,1801.0,22981,2022-12-23 09:15:00,1813.0014881324923,TP,1.0,0.1599523939290733,0.8400476060709268,-0.19994049241134162,1.3995834468793913,3,A,0.8,False,0.3,0.5,1795.0,1762.446471808693,False,51.372502321705795,2.0005952529969475,IMPULSE_W5,True,
B02_LONG_EMA200_FIBOFF,G_BASE47,1,2.0,24418,2023-01-13 08:30:00,24419,2023-01-13 08:45:00,1894.0,1889.2652508222834,1898.7347491777166,4.734749177716594,1887.0,24421,2023-01-13 09:15:00,1898.7347491777166,TP,1.0,0.16896354378497666,0.8310364562150233,-0.42240885946244167,1.056022148656104,3,B,1.5454545454545454,False,0.6363636363636364,0.5294117647058824,1884.0,1772.9815182218765,False,63.963600699490776,1.8938996710866012,IMPULSE_W5,False,
