branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,1423,2022-02-11 19:45:00,1424,2022-02-11 20:00:00,1868.0,1863.2117788640262,1875.1823317039607,4.788221135973799,1857.0,1424,2022-02-11 20:00:00,1863.2117788640262,SL,-1.0,0.10859982971405634,-1.1085998297140562,-1.6707666109854822,0.20884582637318527,1,C,3.5555555555555554,True,0.7777777777777778,0.3125,1833.0,1810.8218680558882,False,80.20216636080606,4.788221135973813,IMPULSE_W5
B02_LONG_EMA200_FIBOFF,G_PROD,1,2.0,1781,2022-02-17 13:15:00,1782,2022-02-17 13:30:00,1904.0,1899.3866798142633,1910.9199802786052,4.613320185736711,1889.0,1782,2022-02-17 13:30:00,1899.3866798142633,SL,-1.0,0.11271708423961474,-1.1127170842396148,-1.0838181176886033,1.0838181176886033,1,B,1.6153846153846154,False,0.46153846153846156,0.5714285714285714,1876.0,1813.1422006900893,False,73.47772399817418,4.613320185736776,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2006,2022-02-21 21:30:00,2007,2022-02-21 21:45:00,1961.0,1952.7351339145682,1973.3972991281476,8.264866085431777,1935.0,2008,2022-02-21 22:00:00,1973.3972991281476,TP,1.4999999999999862,0.06291692988427094,1.4370830701157153,-0.24198819186258055,2.0568996308319347,2,C,2.2941176470588234,False,0.9411764705882353,0.5128205128205128,1912.0,1815.1391373859121,False,72.79385796263232,8.264866085431688,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2205,2022-02-23 23:15:00,2206,2022-02-23 23:30:00,1921.0,1917.0157736979436,1926.9763394530846,3.9842263020564133,1912.0,2216,2022-02-24 02:00:00,1917.0157736979436,SL,-1.0,0.13051467476423412,-1.130514674764234,-1.0039590366479547,1.0039590366479547,11,C,2.1666666666666665,False,0.8333333333333334,0.4230769230769231,1906.0,1817.411177436685,False,53.81870459452554,3.9842263020563946,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2559,2022-03-01 15:45:00,2560,2022-03-01 16:00:00,1916.0,1909.4451552469634,1925.832267129555,6.554844753036605,1901.0,2566,2022-03-01 17:30:00,1925.832267129555,TP,1.5000000000000173,0.07933063552101738,1.420669364479,-0.6102356578539797,1.5255891446349494,7,C,2.0,False,0.8333333333333334,0.5,1895.0,1821.0458266995474,False,61.039927549848706,6.554844753036684,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2569,2022-03-01 18:15:00,2570,2022-03-01 18:30:00,1929.0,1923.5653545654834,1937.1519681517748,5.434645434516597,1901.0,2571,2022-03-01 18:45:00,1923.5653545654834,SL,-1.0,0.09568241502883862,-1.0956824150288387,-1.1040278657173688,0.36800928857245624,2,C,2.0,False,0.8333333333333334,0.5,1895.0,1821.0458266995474,False,66.13192430479185,5.434645434516514,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2579,2022-03-01 20:45:00,2580,2022-03-01 21:00:00,1933.0,1928.189234266211,1940.2161486006835,4.810765733788912,1901.0,2582,2022-03-01 21:30:00,1928.189234266211,SL,-1.0,0.10809090044599887,-1.108090900445999,-1.247202697453833,1.0393355812115275,3,C,2.0,False,0.8333333333333334,0.5,1895.0,1821.0458266995474,False,67.65735564881997,4.8107657337889975,IMPULSE_W5
B01_LONG_CORE,G_PROD,1,2.0,2587,2022-03-01 22:45:00,2588,2022-03-01 23:00:00,1939.0,1934.2630807403239,1946.1053788895142,4.736919259676142,1927.0,2588,2022-03-01 23:00:00,1934.2630807403239,SL,-1.0,0.10977598972956779,-1.1097759897295678,-2.111076725568611,0.0,1,B,1.0277777777777777,True,0.5,0.2972972972972973,1895.0,1821.0458266995474,False,70.42196241152115,4.736919259676223,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2911,2022-03-07 07:45:00,2912,2022-03-07 08:00:00,1998.0,1992.7129528451057,2005.9305707323415,5.287047154894253,1981.0,2921,2022-03-07 10:15:00,2005.9305707323415,TP,1.5000000000000215,0.09835357710373979,1.4016464228962817,-0.7565659777210753,1.7022734498724195,10,C,3.3846153846153846,False,0.8461538461538461,0.38636363636363635,1967.0,1825.6575015659612,False,68.48396683656674,5.287047154894345,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,2922,2022-03-07 10:30:00,2923,2022-03-07 10:45:00,2009.0,2004.6592740085666,2015.51108898715,4.340725991433374,1981.0,2926,2022-03-07 11:30:00,2004.6592740085666,SL,-1.0,0.11979562889393258,-1.1197956288939326,-2.073385884702679,1.3822572564684528,4,C,3.3846153846153846,False,0.8461538461538461,0.38636363636363635,1967.0,1825.6575015659612,False,75.38952412188955,4.340725991433329,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,5327,2022-04-11 11:45:00,5328,2022-04-11 12:00:00,1961.0,1957.106128824434,1966.8408067633488,3.8938711755658915,1952.0,5330,2022-04-11 12:30:00,1966.8408067633488,TP,1.5,0.1335431955897794,1.3664568044102205,0.0,1.5408830260359159,3,C,2.5,False,0.75,0.55,1947.0,1852.593895896897,False,74.6768049125753,3.893871175565915,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,5786,2022-04-18 06:30:00,5787,2022-04-18 06:45:00,1991.0,1988.99068711812,1994.0139693228202,2.009312881880078,1983.0,5791,2022-04-18 07:45:00,1994.0139693228202,TP,1.5000000000000566,0.258794936661853,1.2412050633382037,-0.4976825705035634,1.9907302820142536,5,C,2.0,False,0.8333333333333334,0.4166666666666667,1980.0,1858.384460715056,False,70.04121437605383,2.00931288188018,IMPULSE_W5
